text,category,justification
305: a person who kneels down to propose to the opposite sex,Social Event/Relationship,Represents a significant social ritual and the formation of relationships.
306: the person who was proposed to on one knee,Social Event/Relationship,"Provides information about the recipient of a proposal, illustrating a social exchange."
307: the thing held by the person who proposed on one knee,Social Event/Relationship,Highlights an object central to the romantic ritual of proposing.
308: hot air balloon with words on it,Transportation/Event,Demonstrates a mode of transport with potentially associated messaging or events.
309: hot air balloon landing on the ground,Transportation/Event,"Shows the completion or end of a journey, typically a visual event."
310: fired hot air balloon,Transportation/Event,Presents a destructive event related to the transportation mode.
311: a sailboat,Transportation/Recreation,Represents a mode of transport and recreational activity.
312: a ship on the shore,Transportation/Location,"Shows a vehicle and its context, indicating a location."
313: a boat with someone rowing on the water,Transportation/Activity,Depicts a vehicle engaged in an active movement on water.
314: origami that looks like a bird,Craft/Art,Represents a handcrafted creation with a specific visual form.
315: origami that looks like an animal,Craft/Art,Demonstrates a handcrafted creation attempting to represent an animal.
316: origami that looks like flowers,Missing Elements,"Justification: The image is incomplete, specifically lacking the expected three-dimensional form of a flower."
317: horseman without helmet,Missing Elements,"Justification: The image depicts a human figure but lacks a crucial protective item, indicating a missing component."
318: dog not led by ropes outside,Missing Elements,"Justification: The image contains a dog, but the expected guiding element (ropes) is absent, creating an incomplete scene."
319: basketball untouched,Missing Elements,"Justification: The image shows a basketball, but it's not being interacted with, highlighting a lack of action or engagement."
320: dish without any spoons,Missing Elements,"Justification: The image presents a dish, but the standard utensil (spoons) is missing, disrupting a common association."
321: bartender without suit,Missing Elements,"Justification: The image features a bartender, yet the expected formal attire (suit) is absent, representing a missing aspect of the profession."
322: pot without food,Missing Elements,"Justification: The image shows a pot, but the typical contents (food) are absent, disrupting a common visual pairing."
323: a sofa with no pillow on it in the room,Missing Elements,"Justification: The image displays a sofa, but the associated comfort element (pillow) is missing, signifying an incomplete setup."
324: cat not looking directly at the camera in the room,Missing Elements,"Justification: The image features a cat, but the expected gaze-direction (directly at the camera) is absent, creating a visual disruption."
325: a bed without patterns on it,Missing Elements,"Justification: The image presents a bed, but the usual visual characteristic (patterns) is missing, altering the expected appearance."
326: a blackboard or whiteboard without any words in the classroom,Missing Elements,"Justification: The image includes a blackboard/whiteboard, but the essential feature (words) is missing, disrupting its function."
327: a bookshelf without people around,Missing Elements,"Justification: The image shows a bookshelf, but the usual accompanying presence (people) is missing, creating a solitary visual."
328: a cake without cream on the surface,Missing Elements,"Justification: The image displays a cake, but the expected topping (cream) is missing, altering its typical appearance."
329: doughnut with no colored particles on the surface,Missing Elements,"Justification: The image shows a doughnut, but the typical decorative element (colored particles) is absent, creating a simplified visual."
330: vegetablefree hot dog,Missing Elements,"Justification: The image presents a hot dog, but the standard component (vegetables) is missing, disrupting a common combination."
331: a flowerpot without flowers,Absence of Expected Objects,"Justification: This exemplifies a scenario where a common object is present but lacks its typical associated element, representing a failure to incorporate typical context."
332: incomplete apple,Absence of Expected Agent,Justification: The image suggests a lack of interaction or context – the apple exists without someone holding or using it.
333: toothbrush not in peoples hands,Absence of Expected Agent,"Justification: Similar to 332, this highlights the missing presence of the intended user or actor within the scene."
334: a chair where no one is sitting in the barber shop,Absence of Expected Agent,Justification: This indicates a scene lacking human interaction or activity within a typical setting.
335: a toy other than human toys,Deviation from Typical Usage,"Justification: This showcases an anomaly – a toy existing without being used by a human, disrupting the expected narrative."
336: empty shopping cart in the supermarket,Absence of Expected Agent,Justification:  This presents a scene lacking human presence and activity associated with the shopping cart's function.
337: nonhuman mask,Deviation from Typical Usage,"Justification:  This is an unusual depiction of a mask, failing to show it being worn by a human, representing a break in expected representation."
338: an unopened refrigerator,Absence of Expected Agent,"Justification:  The refrigerator’s state of being unopened suggests a lack of use or interaction, highlighting the missing role of a human."
339: a watch not on human wrists,Absence of Expected Agent,"Justification: This breaks the standard representation of a watch as being worn by a person, signifying an incorrect or incomplete portrayal."
340: hanger without clothes,Absence of Expected Agent,"Justification:  The hanger is present but devoid of clothing, indicating a lack of context and the missing element of use."
341: nonshoulder bag without human body,Absence of Expected Agent,"Justification:  The bag exists without a human, disrupting the expected association of a bag with a person."
342: a fisher who stands on the shore and whose lower body is not submerged by water,Absence of Expected Agent,Justification: This image disrupts the typical depiction of a fisherman and the water context.
343: a camera that no one holds,Absence of Expected Agent,"Justification: The camera is present, but without a human operator, signifying a failure to incorporate a user within the scene."
344: an unopened oven,Absence of Expected Agent,"Justification:  The oven’s state of being unopened suggests a lack of use or interaction, highlighting the missing role of a human."
345: a doctor or nurse wearing nongreen clothes,Deviation from Typical Usage,"Justification: This deviates from the expected attire for medical professionals, indicating an inaccurate representation of a professional role."
346: a dancing woman with no knees exposed,Body Pose/Action,"This example highlights a specific, unusual body pose, common in REC/REF models' difficulty with nuanced actions."
347: unused microphone stand on stage,Object Presence/Context,This demonstrates the model's struggle with understanding the presence of an object and its context within a scene.
348: a person who stands on the stage for speech but dont open their mouths,Body Pose/Action,"Similar to 348, this example focuses on a particular action and an unusual body posture, representing a challenge in representing human behavior."
349: aircraft not on the ground,Object Presence/Context,"This showcases the model's trouble with understanding spatial relationships and object states (e.g., ""not on the ground"")."
350: a cable car without people inside,Object Presence/Context,This highlights the model's difficulty in understanding the presence or absence of individuals within an object.
351: a person who didnt land or touch anything on the stage,Body Pose/Action,"This exemplifies the model's struggle with representing specific actions, especially those involving interaction with the environment."
352: a person who hugs another person but doesnt touch his face,Body Pose/Action,"This demonstrates a challenge in accurately rendering social interactions, specifically the detail of hand and face contact."
353: a woman in white wedding dress not beside any men in suits,Scene Context/Composition,This example highlights the model's issues with understanding scene composition and the relationships between objects/people.
354: a person in santa claus clothes without bags,Object Presence/Context,"This shows difficulty with understanding the complete representation of an object (Santa’s outfit), specifically the accessory."
355: a person with a pen in one hand but not looking at the paper,Body Pose/Action,This showcases the model’s challenge with representing human actions—the specific posture and interaction with a tool.
356: a billiard ball with no numbers or patterns on its surface on the table,Object Presence/Context,This emphasizes the model's inability to accurately render the details of an object's surface appearance.
357: an unoccupied chessboard,Object Presence/Context,"This illustrates the model's difficulty with representing the state of an object (empty, unused)."
358: a person at the conference table who is not seated,Body Pose/Action,This example highlights the model's challenge with representing a specific human pose and its associated action (being at a table).
359: a person in cheerleading clothes who is not held in the air,Body Pose/Action,This demonstrates the model's struggle with representing human actions and typical associated body poses.
360: a baseball player without a cap on his head,Object Presence/Context,This exemplifies the model’s struggle with representing object attributes (a baseball player and the absence of a cap).
361: a person wearing football helmets but not running,Action/Pose Anomaly,Justification: The subject exhibits an action (wearing helmets) inconsistent with a typical action (running) for that sport.
362: athlete wearing nonwhite stockings on the green field,Color/Attribute Anomaly,"Justification: The stocking color deviates from the expected norm for athletes and the surrounding environment, creating an unusual visual."
363: a person with a tennis racket and no feet left the ground,Action/Pose Anomaly,"Justification: The subject possesses a tennis racket but lacks any action (lifting feet), violating a key element of the sport."
364: a person standing at the table of table tennis who is not waving table tennis rackets,Action/Pose Anomaly,Justification: The subject is in a relevant setting but not performing the typical action associated with the sport.
365: indoor volleyball not touched by hands,Action/Pose Anomaly,Justification: The subject is involved in a sport but is not performing the core action of the game.
366: a person who is not standing upright on the ski resort,Pose/Orientation Anomaly,Justification: The subject’s posture deviates from the standard upright position expected in a ski resort environment.
367: surfboard not on the beach,Location/Context Anomaly,Justification: The surfboard’s location is incongruous with its typical environment – the beach.
368: a gymnast who is not touching anything in the air,Action/Pose Anomaly,Justification: The gymnast is performing in a sport that requires aerial movement but isn't executing that element.
369: an empty swing bench,Object/State Anomaly,"Justification: The presence of an empty swing bench signifies the absence of an active participant, creating a strange visual."
370: an empty swimming pool,Object/State Anomaly,"Justification: The empty pool denotes the absence of a swimmer, leading to a visually odd situation."
371: a male lion who is not lying,Pose/Orientation Anomaly,"Justification: The lion’s posture is unusual for a lion, deviating from its typical resting position."
372: parrot not on human body,Location/Context Anomaly,Justification: The parrot's location on the human body is not a natural or expected placement.
373: camel not lying on the ground,Pose/Orientation Anomaly,Justification: The camel’s lack of a resting position on the ground is unexpected given its typical behavior.
374: redcrowned crane not standing on the ground,Pose/Orientation Anomaly,"Justification: The crane’s posture deviates from its natural stance, presenting an unusual visual."
375: giant panda without all four feet on the ground,Pose/Orientation Anomaly,"Justification: The panda's posture is an anomaly, as pandas are typically seen with all four feet on the ground."
376: an autosalon girl without bare waist,Absence of Expected Feature,Justification: This exemplifies a negative constraint – the absence of a typically associated element (bare waist) within the scene.
377: a lion dance that is not upright,Deviation from Standard Pose,"Justification: The description highlights a violation of a characteristic posture for a lion dance, indicating a deviation from normal representation."
378: a rock climber without helmet,Absence of Protective Gear,"Justification: This focuses on the missing safety equipment, representing a negative constraint on a typical scenario."
379: nonburning torch,Absence of Action/State,Justification: The descriptor “nonburning” signifies a lack of the expected action or state associated with a torch.
380: a butterfly that doesnt stop on flowers,Deviation from Behavior,Justification: This describes a butterfly behaving differently from its common association with flower landings.
381: aircraft flying in the air without smoke trail,Absence of Common Effect,Justification: The description removes a frequently observed consequence of aircraft flight – the smoke trail.
382: frisbee not held by anyone,Absence of Agency,"Justification: This highlights the absence of a human interaction with the object, representing a lack of direct involvement."
383: golf ball not in the air,Absence of Motion,Justification: The description specifies the absence of the expected movement associated with a golf ball.
384: helicopter not flying in the air,Absence of Movement/Position,Justification: This emphasizes the absence of the helicopter's typical airborne position and movement.
385: well cover without words on the surface,Absence of Text/Markings,Justification: This describes the lack of a key visual element – text or markings – on the surface.
386: mailbox not marked with numbers,Absence of Identification,Justification: The description specifies the lack of a crucial identifying feature – numerical markings on the mailbox.
387: a deer without antlers,Absence of Physical Attribute,Justification: This describes the absence of a typical anatomical characteristic of a deer.
388: kangaroo not standing,Deviation from Posture,"Justification: The description points to a non-standard posture for a kangaroo, representing a change in its typical stance."
389: woodpecker not on the side of the trunk,Deviation from Location,"Justification: The descriptor indicates a non-standard location for the woodpecker, disrupting the expected positioning."
390: an eagle without wings,Absence of Key Attribute,Justification: This highlights the crucial absence of a fundamental component – wings – for an eagle.
391: a dolphin whose head is not above the water,Absence of expected behavior,"Highlights a deviation from a typical, expected state for the animal."
392: a seal not in the water,Absence of expected behavior,Demonstrates a lack of the animal's typical environment or activity.
393: a peacock who is not opening the screen,Absence of expected behavior,Presents a scenario where an animal is not performing a visually common action.
394: swan not in the water,Absence of expected behavior,"Similar to seal, this focuses on a deviation from the animal’s usual state."
395: hippo whose mouth are not open,Absence of expected behavior,"Shows a lack of typical animal behavior—specifically, the hippo’s open-mouthed posture."
396: the moon that does not appear completely round,Incomplete/Distorted Appearance,Represents a visual anomaly – a departure from a standard form.
397: a person whose eyes are invisible in sunglasses,Obscured/Hidden Feature,Focuses on a partial or obscured element of a subject.
398: otter not in the water,Absence of expected behavior,Indicates a deviation from the typical otter state and environment.
399: volleyball in the middle of the air untouched on the beach,Unacted Upon/Inactive Object,Demonstrates an object in a state of inactivity or stillness.
400: a street food truck without an umbrella,Lack of Protective Feature,Highlights the absence of a typical protective element.
401: a street performer without audience,Lack of Interaction/Support,Presents a scenario lacking a key element typically associated with the performer.
402: a person not wearing boxing gloves on the stage,Absence of Protective Gear,Shows a lack of equipment associated with the context.
403: a sled dog that is not running,Absence of expected behavior,Indicates a deviation from the animal’s typical activity.
404: a water polo player who is in the water but does not hold the ball,Unsuccessful/Failed Action,"Shows an individual in the context, but failing to perform a relevant task."
405: a barbell held by a weightlifter that has not been lifted above the head,Unsuccessful/Failed Action,Demonstrates a lack of action or completion of a typical activity.
406: a kendo athlete without helmet,Absence of Expected Equipment,"Justification: The example highlights a missing component crucial to the activity, demonstrating a failure to adhere to typical performance conditions."
407: a taekwondo athlete who is not kicking with their feets,Absence of Expected Action,"Justification: The example deviates from the standard action associated with the sport, representing a misaligned performance."
408: kite surfer who didnt touch the water,Absence of Expected Interaction,"Justification: The example showcases a lack of engagement with the primary element of the activity, demonstrating a deviation from expected behavior."
409: a door that is not damaged on the damaged car,Mismatch of Damage State,"Justification: The example presents a contradiction in the state of the object relative to its environment, highlighting a discrepancy."
410: a girl with black hair and anime clothes,Mismatch of Attire,"Justification: The example presents an incongruous combination of clothing elements, suggesting an inappropriate or unexpected appearance."
411: a helmeted cyclist without companions in the race,Absence of Supporting Elements,"Justification: The example indicates the absence of a common element (companions) alongside a necessary piece of equipment (helmet), disrupting a typical scene."
412: a person who wears a helmet and sling equipment but is not on the sling,Absence of Expected Action/State,"Justification: The example demonstrates an inconsistency between equipment and resulting action/state, showing a breakdown in expected behavior."
413: a person on the yoga mat who is not meditating,Absence of Expected Action,"Justification: The example highlights a mismatch between the environment and the expected activity, indicating a failure to engage in the typical practice."
414: a person who doesnt touch the rope with both feet,Absence of Expected Action,"Justification: The example contradicts the standard way of interacting with the object, showing a deviation from the correct performance."
415: nonconvertible racing car,Mismatch of Vehicle Type,"Justification: The example presents a vehicle type that doesn't align with the expected category of a ""racing car,"" demonstrating a problem with categorization."
416: stop sign with white letters on a blue background,Mismatch of Visual Elements,"Justification: The example demonstrates an incorrect visual configuration of the standard sign, representing a failure to adhere to a standard appearance."
417: a diabolo not being played with rope,Absence of Supporting Element,"Justification: The example indicates a missing component crucial for the activity (rope), representing a failure to properly engage in the activity."
418: a dart that doesnt stick to the target,Absence of Expected Action,"Justification: The example highlights a deviation from the expected outcome of the activity, showing a failure to properly engage in the activity."
419: person who kneels on one knee and proposes but has nothing in his hand,Absence of Supporting Element,Justification: The example presents a situation lacking a crucial element of the situation – an object to be held during a proposal.
420: hot air balloon without ignition,Absence of Supporting Element,"Justification: The example highlights a missing component crucial for the activity (ignition), representing a failure to properly engage in the activity."
421: a boat that needs manual rowing but no one,Abandoned/Neglected Object,"The image likely depicts a static, unused object, reflecting a lack of action or purpose."
422: origami unlike birds,Abstract Form/Deviation,"The image presents a non-biological, unconventional shape, disrupting the expected representation of a natural form."
