text,category,justification
380: a butterfly that doesnt stop on flowers,Action,Indicates the butterfly is not performing the typical action of landing on flowers.
381: aircraft flying in the air without smoke trail,Attribute,Describes the absence of a characteristic feature (smoke trail) of the aircraft.
382: frisbee not held by anyone,Attribute,Indicates the frisbee is not being held or possessed by anyone.
383: golf ball not in the air,Attribute,Indicates the golf ball is not airborne.
384: helicopter not flying in the air,Attribute,Describes the helicopter’s state – it is not airborne.
385: well cover without words on the surface,Attribute,Indicates the absence of words on the surface of the cover.
386: mailbox not marked with numbers,Attribute,Indicates the lack of numerical markings on the mailbox.
387: a deer without antlers,Attribute,Indicates the absence of a characteristic feature (antlers) of the deer.
388: kangaroo not standing,Action,Describes the kangaroo’s incorrect posture – it is not standing.
389: woodpecker not on the side of the trunk,Action,Indicates the woodpecker is not performing the typical action of perching on a tree trunk.
390: an eagle without wings,Attribute,Indicates the absence of a characteristic feature (wings) of the eagle.
391: a dolphin whose head is not above the water,Spatial,Indicates the dolphin's position relative to the water surface.
392: a seal not in the water,Spatial,Indicates the seal’s location relative to the water.
393: a peacock who is not opening the screen,Action,Indicates the peacock is not performing the action of opening a screen.
394: swan not in the water,Spatial,Indicates the swan’s location relative to the water.
395: hippo whose mouth are not open,Spatial,Indicates the hippo’s position relative to its open mouth.
396: the moon that does not appear completely round,Attribute,Describes a specific quality or characteristic of the moon.
397: a person whose eyes are invisible in sunglasses,Attribute,Focuses on a specific feature (eyes) obscured by a specific attribute (sunglasses).
398: otter not in the water,Spatial,Indicates the otter’s location relative to the water.
399: volleyball in the middle of the air untouched on the beach,Spatial,Describes the volleyball’s position and state (unmoved) in space.
400: a street food truck without an umbrella,Attribute,Indicates the absence of a specific item (umbrella) and its effect.
401: a street performer without audience,Attribute,Indicates the absence of a specific element (audience) and its consequence.
402: a person not wearing boxing gloves on the stage,Attribute,Focuses on a specific item (boxing gloves) and its absence.
403: a sled dog that is not running,Action,Indicates the dog is not performing the action of running.
404: a water polo player who is in the water but does not hold the ball,Spatial,Describes the player’s location and the state of the ball relative to them.
405: a barbell held by a weightlifter that has not been lifted above the head,Action,Indicates the weightlifter is holding the barbell but not performing the action of lifting it.
406: a kendo athlete without helmet,State,"Indicates the absence of a helmet, defining a key characteristic of the athlete's situation."
407: a taekwondo athlete who is not kicking with their feets,State,"Indicates the absence of a kicking action, highlighting a deviation from typical taekwondo performance."
408: kite surfer who didnt touch the water,State,"Indicates the absence of interaction with the water, a crucial element for a kite surfer."
409: a door that is not damaged on a damaged car,State,Highlights the undamaged state of the door relative to the damaged car.
410: a girl with black hair and anime clothes,Attribute,Describes the girl’s physical appearance and clothing style.
411: a helmeted cyclist without companions in the race,State,"Shows the cyclist wearing a helmet, alongside the lack of any racing companions."
412: a person who wears a helmet and sling equipment but is not on the sling,State,Describes the presence of equipment and absence of use of the equipment.
413: a person on the yoga mat who is not meditating,State,Indicates a physical presence on the mat coupled with the absence of meditation.
414: a person who doesnt touch the rope with both feet,State,Shows the absence of a specific action with the rope.
415: nonconvertible racing car,Attribute,Describes the car’s specific feature: inability to convert.
416: stop sign with white letters on a blue background,Attribute,Details the appearance of the stop sign - its color and lettering.
417: a diabolo not being played with rope,State,"Highlights the absence of the rope, which is essential for playing the diabolo."
418: a dart that doesnt stick to the target,State,Indicates the failure of the dart to reach its intended target.
419: person who kneels on one knee and proposes but has nothing in his hand,State,Describes a specific pose and action without any accompanying items.
420: hot air balloon without ignition,State,"Highlights the absence of the ignition, a necessary component for the balloon’s operation."
421: a boat that needs manual rowing but no one,Object,Describes a physical object – a boat – and its state.
422: origami unlike birds,Object,"Refers to a specific art form (origami) and compares it to another object (birds), indicating a visual representation."
